Optimizing CatBoost...
[32m[I 2024-10-13 00:49:02,285][0m Trial 44 finished with value: 50349.56886399578 and parameters: {'depth': 8, 'learning_rate': 0.04745136538198898, 'iterations': 312, 'l2_leaf_reg': 1.461726650555599e-05, 'border_count': 127, 'bagging_temperature': 0.8288052668240686, 'random_strength': 3.0856070166414926, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 920}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:49:02,981][0m Trial 45 finished with value: 65639.38106706069 and parameters: {'depth': 6, 'learning_rate': 0.01722222465758002, 'iterations': 111, 'l2_leaf_reg': 1.7407259136045187e-06, 'border_count': 90, 'bagging_temperature': 0.5534777136207013, 'random_strength': 5.786920639994175, 'grow_policy': 'Depthwise', 'min_data_in_leaf': 738}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:49:10,521][0m Trial 46 finished with value: 50816.70618690305 and parameters: {'depth': 5, 'learning_rate': 0.03516714087385214, 'iterations': 1743, 'l2_leaf_reg': 2.2359532919410198e-08, 'border_count': 106, 'bagging_temperature': 0.6616101147001168, 'random_strength': 4.818410138545995, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 817}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:49:14,812][0m Trial 47 finished with value: 57939.85772578261 and parameters: {'depth': 7, 'learning_rate': 0.002932161254276648, 'iterations': 574, 'l2_leaf_reg': 4.908927298350027e-07, 'border_count': 131, 'bagging_temperature': 0.7388976648006951, 'random_strength': 4.239674708956945, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 532}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:34,656][0m Trial 48 finished with value: 54760.78841477293 and parameters: {'depth': 14, 'learning_rate': 0.13847323943787404, 'iterations': 1014, 'l2_leaf_reg': 0.0007390881061719421, 'border_count': 76, 'bagging_temperature': 0.88033258724997, 'random_strength': 6.56761251875823, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 481}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:41,279][0m Trial 49 finished with value: 53808.43369159265 and parameters: {'depth': 8, 'learning_rate': 0.02512106776783167, 'iterations': 804, 'l2_leaf_reg': 1.0856710342646968e-07, 'border_count': 52, 'bagging_temperature': 0.4973721952818465, 'random_strength': 3.0717111834350486, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 384}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:43,211][0m Trial 50 finished with value: 52902.8695500999 and parameters: {'depth': 4, 'learning_rate': 0.012846807745428802, 'iterations': 1940, 'l2_leaf_reg': 6.325141963483031e-05, 'border_count': 224, 'bagging_temperature': 0.16514745967990607, 'random_strength': 5.374722206905807, 'grow_policy': 'Lossguide', 'min_data_in_leaf': 589, 'max_leaves': 142}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:49,773][0m Trial 51 finished with value: 49694.306242297054 and parameters: {'depth': 7, 'learning_rate': 0.02391406500953441, 'iterations': 928, 'l2_leaf_reg': 6.0065039834681565e-06, 'border_count': 104, 'bagging_temperature': 0.7786948411020462, 'random_strength': 3.6758819615319425, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 791}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:55,837][0m Trial 52 finished with value: 56076.41452683667 and parameters: {'depth': 6, 'learning_rate': 0.005089674066851309, 'iterations': 1210, 'l2_leaf_reg': 1.4674438272409357e-06, 'border_count': 29, 'bagging_temperature': 0.7597546911066095, 'random_strength': 2.5346549206203512, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 748}. Best is trial 26 with value: 46418.5230534429.[0m
[32m[I 2024-10-13 00:50:59,883][0m Trial 53 finished with value: 51137.4344538582 and parameters: {'depth': 6, 'learning_rate': 0.03781896241833416, 'iterations': 730, 'l2_leaf_reg': 1.3854950929725623e-05, 'border_count': 97, 'bagging_temperature': 0.6829624390076775, 'random_strength': 3.9722730673622637, 'grow_policy': 'SymmetricTree', 'min_data_in_leaf': 699}. Best is trial 26 with value: 46418.5230534429.[0m
