iter	Passed	Remaining
895	4289	497
896	4295	493
897	4300	488
898	4307	483
899	4307	478
900	4313	473
901	4320	469
902	4326	464
903	4333	460
904	4340	455
905	4345	450
906	4351	446
907	4357	441
908	4364	436
909	4370	432
910	4376	427
911	4383	422
912	4389	418
913	4395	413
914	4402	408
915	4408	404
916	4414	399
917	4419	394
918	4424	389
919	4430	385
920	4436	380
921	4442	375
922	4447	371
923	4452	366
924	4457	361
925	4462	356
926	4466	351
927	4468	346
928	4472	341
929	4477	337
930	4479	331
931	4483	327
932	4487	322
933	4492	317
934	4496	312
935	4501	307
936	4506	302
937	4510	298
938	4515	293
939	4520	288
940	4524	283
941	4528	278
942	4533	274
943	4537	269
944	4541	264
945	4546	259
946	4550	254
947	4555	249
948	4559	245
949	4563	240
950	4568	235
951	4572	230
952	4578	225
953	4584	221
954	4589	216
955	4595	211
956	4599	206
957	4604	201
958	4609	197
959	4613	192
960	4619	187
961	4623	182
962	4626	177
963	4630	172
964	4635	168
965	4640	163
966	4644	158
967	4648	153
968	4652	148
969	4656	144
970	4659	139
971	4661	134
972	4665	129
973	4668	124
974	4672	119
975	4676	114
976	4680	110
977	4683	105
978	4687	100
979	4691	95
980	4695	90
981	4699	86
982	4702	81
983	4707	76
984	4712	71
985	4717	66
986	4722	62
987	4727	57
988	4732	52
989	4737	47
990	4742	43
991	4747	38
992	4752	33
993	4758	28
994	4764	23
995	4769	19
996	4775	14
997	4779	9
998	4785	4
999	4790	0
