iter	Passed	Remaining
551	3360	2727
552	3368	2722
553	3375	2717
554	3382	2712
555	3389	2706
556	3395	2700
557	3403	2695
558	3409	2689
559	3416	2684
560	3419	2676
561	3427	2670
562	3434	2665
563	3440	2659
564	3445	2653
565	3451	2646
566	3458	2641
567	3464	2634
568	3469	2628
569	3474	2621
570	3477	2612
571	3483	2606
572	3491	2601
573	3495	2593
574	3499	2586
575	3503	2578
576	3508	2571
577	3512	2564
578	3517	2557
579	3522	2550
580	3527	2544
581	3532	2537
582	3537	2530
583	3543	2524
584	3550	2518
585	3555	2512
586	3561	2505
587	3567	2499
588	3569	2490
589	3575	2484
590	3576	2474
591	3582	2469
592	3588	2462
593	3594	2456
594	3600	2450
595	3607	2445
596	3614	2439
597	3621	2434
598	3627	2428
599	3634	2423
600	3640	2417
601	3646	2411
602	3652	2404
603	3658	2398
604	3665	2393
605	3672	2387
606	3678	2381
607	3681	2373
608	3688	2368
609	3695	2362
610	3701	2356
611	3707	2350
612	3714	2344
613	3720	2338
614	3727	2333
615	3733	2327
616	3739	2321
617	3746	2315
618	3753	2310
619	3759	2304
620	3766	2298
621	3773	2293
622	3780	2287
623	3787	2282
624	3794	2276
625	3801	2270
626	3801	2261
627	3802	2252
628	3809	2247
629	3816	2241
630	3823	2236
631	3830	2230
632	3837	2224
633	3838	2216
634	3845	2210
635	3852	2204
636	3859	2199
637	3866	2194
638	3873	2188
639	3881	2183
640	3888	2177
641	3895	2171
642	3901	2166
643	3908	2160
644	3912	2153
645	3915	2145
646	3916	2136
647	3922	2130
648	3928	2124
649	3934	2118
650	3940	2112
651	3947	2106
652	3953	2101
653	3960	2095
654	3967	2089
655	3973	2083
656	3979	2077
657	3985	2071
658	3989	2064
659	3990	2055
660	3995	2049
661	4000	2042
662	4004	2035
663	4009	2029
664	4014	2022
665	4019	2015
666	4023	2008
667	4027	2001
668	4031	1994
669	4036	1987
670	4040	1980
671	4043	1973
672	4047	1966
673	4051	1959
674	4055	1952
675	4059	1945
676	4064	1938
677	4068	1932
678	4072	1925
679	4076	1918
680	4081	1911
681	4085	1904
682	4089	1897
683	4092	1890
684	4096	1883
685	4100	1876
686	4104	1869
687	4108	1862
688	4109	1854
689	4112	1847
690	4116	1840
691	4120	1834
692	4124	1827
693	4128	1820
694	4132	1813
695	4135	1806
696	4139	1799
697	4142	1792
698	4146	1785
699	4149	1778
700	4153	1771
701	4157	1764
702	4162	1758
703	4166	1751
704	4170	1745
705	4174	1738
706	4178	1731
707	4183	1725
708	4190	1719
709	4197	1714
710	4203	1708
711	4210	1703
712	4217	1697
713	4224	1692
714	4231	1686
715	4239	1681
716	4245	1675
717	4251	1669
718	4259	1664
719	4265	1658
720	4271	1653
721	4278	1647
722	4285	1641
723	4292	1636
724	4299	1630
725	4306	1625
726	4313	1619
727	4320	1614
728	4327	1608
729	4334	1603
730	4341	1597
731	4349	1592
732	4356	1586
733	4360	1580
734	4373	1576
735	4381	1571
736	4386	1565
737	4387	1557
738	4392	1551
739	4396	1544
740	4400	1538
741	4404	1531
742	4409	1525
743	4413	1518
744	4418	1512
745	4422	1505
746	4427	1499
747	4431	1493
748	4436	1486
749	4441	1480
750	4442	1472
751	4446	1466
752	4452	1460
753	4456	1454
754	4461	1447
755	4464	1440
756	4468	1434
757	4473	1428
758	4478	1422
759	4483	1415
760	4487	1409
761	4492	1403
762	4497	1397
763	4502	1390
764	4507	1384
765	4514	1379
766	4519	1372
767	4526	1367
768	4531	1361
769	4537	1355
770	4544	1349
771	4550	1344
772	4557	1338
773	4563	1332
774	4570	1327
775	4574	1320
776	4581	1314
777	4588	1309
778	4595	1303
779	4603	1298
780	4610	1292
781	4617	1287
782	4624	1281
783	4631	1276
784	4639	1270
785	4646	1264
786	4653	1259
787	4659	1253
788	4665	1247
789	4671	1241
790	4677	1236
791	4684	1230
792	4691	1224
793	4698	1218
794	4705	1213
795	4712	1207
796	4719	1202
797	4720	1194
798	4727	1189
799	4733	1183
800	4740	1177
801	4746	1171
802	4752	1166
803	4760	1160
804	4762	1153
805	4769	1147
806	4775	1142
807	4782	1136
808	4789	1130
809	4795	1124
810	4802	1119
811	4808	1113
812	4814	1107
813	4820	1101
814	4827	1095
815	4834	1090
816	4841	1084
817	4848	1078
818	4854	1072
819	4855	1065
820	4860	1059
821	4867	1053
822	4874	1048
823	4880	1042
824	4887	1036
825	4890	1030
826	4896	1024
827	4904	1018
828	4910	1012
829	4917	1007
830	4925	1001
831	4932	995
832	4939	990
833	4946	984
834	4952	978
835	4959	972
836	4966	967
837	4973	961
838	4980	955
839	4987	950
840	4994	944
841	5001	938
842	5008	932
843	5010	926
844	5017	920
845	5024	914
846	5025	907
847	5032	902
848	5039	896
849	5046	890
850	5053	884
851	5060	879
852	5067	873
853	5069	866
854	5076	860
855	5083	855
856	5091	849
857	5097	843
858	5104	837
859	5111	832
860	5118	826
861	5125	820
862	5132	814
863	5140	809
864	5146	803
865	5153	797
866	5160	791
867	5167	785
868	5174	780
869	5181	774
870	5187	768
871	5191	762
872	5197	756
873	5204	750
874	5211	744
875	5219	738
876	5226	732
877	5233	727
878	5239	721
879	5246	715
880	5249	709
881	5256	703
882	5262	697
883	5270	691
884	5277	685
885	5284	679
886	5291	674
887	5298	668
888	5305	662
889	5312	656
